keel-pin: mask=0,8,16,24,32,40,48,56 width=8 doms=0,8,16,24,32,40,48,56 nodedoms=12
keel-bench-cpu: AMD EPYC 9R14
keel-bench-cores: 8 logical
keel-bench-governor: unknown (no cpufreq)
keel-bench-clock-mhz: 2600-3735 (snapshot, not sustained)
keel-bench-platform: linux/amd64
keel-bench-toolchain: go1.27.0-X:simd
keel-bench-backend: avx512 (available: avx512 avx2 scalar)
keel-bench-peak-method: measured on this host by BenchmarkPeak (register-only FMA saturation); the formula below is a cross-check, not the denominator (issue #11)
keel-bench-peak-formula: avx512: unavailable (no cpuinfo_max_freq)
keel-bench-peak-formula: avx2: unavailable (no cpuinfo_max_freq)
keel-bench-peak-formula: scalar: unavailable (no cpuinfo_max_freq)
keel-bench-gomaxprocs: 8
keel-bench-kern: 4x32/avx512 (available: 4x32/avx512 2x32/avx512 4x32/scalar 2x32/scalar)
keel-bench-kern-class: fma insns-per-fma=6.250 (avx512 with vbmi2+vpopcntdq (Ice Lake / Zen 4 or later))
keel-bench-kern-audit: 4x32/avx512=6.250 2x32/avx512=4.625
keel-bench-openblas: not available (no cgo reference harness built; rebuild with -tags openblas on a host that has OpenBLAS)
goos: linux
goarch: amd64
pkg: github.com/scttfrdmn/keel/bench
cpu: AMD EPYC 9R14
BenchmarkKernel/2x32/avx512/kc=128-8         	 8176974	       146.6 ns/op	       111.7 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8182258	       146.5 ns/op	       111.9 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8191514	       159.4 ns/op	       102.8 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8199193	       146.7 ns/op	       111.7 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8205026	       146.6 ns/op	       111.7 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/avx512/kc=128-8         	 8139422	       146.7 ns/op	       111.7 GFLOP/s	     16384 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   58111	     18991 ns/op	         1.725 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   85470	     16329 ns/op	         2.007 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   90572	     14792 ns/op	         2.215 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   78110	     18501 ns/op	         1.771 GFLOP/s	     32768 flops/call
